City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Berlevag,NO,2021-12-12 09:47:15,70.8578,29.0864,28.44,94,100,12.91
68,Colares,PT,2021-12-12 09:47:16,38.7992,-9.4469,59.32,78,0,1.01
69,Umm Kaddadah,SD,2021-12-12 09:47:16,13.6017,26.6876,85.44,20,4,15.57
70,Chokurdakh,RU,2021-12-12 09:47:16,70.6333,147.9167,-33.14,95,99,2.8
71,Chapais,CA,2021-12-12 09:47:17,49.7834,-74.8492,22.78,88,100,20.45
72,Hilo,US,2021-12-12 09:47:17,19.7297,-155.09,70.39,46,20,4.61
73,Avarua,CK,2021-12-12 09:47:17,-21.2078,-159.775,77.05,83,40,5.75
74,Chuy,UY,2021-12-12 09:47:17,-33.6971,-53.4616,65.26,77,0,5.95
75,Arrecife,ES,2021-12-12 09:47:18,28.963,-13.5477,66.27,77,20,9.22
76,Yellowknife,CA,2021-12-12 09:45:53,62.456,-114.3525,11.41,94,90,8.05
77,Guerrero Negro,MX,2021-12-12 09:47:18,27.9769,-114.0611,59.81,61,0,10.8
78,Taunsa,PK,2021-12-12 09:47:18,30.7048,70.6505,74.53,15,11,2.48
79,New Norfolk,AU,2021-12-12 09:47:19,-42.7826,147.0587,56.71,83,3,3.6
80,Nome,US,2021-12-12 09:47:19,64.5011,-165.4064,-9.33,64,1,11.5
81,Puerto Ayora,EC,2021-12-12 09:47:19,-0.7393,-90.3518,67.55,97,100,6.76
82,Mitchell,US,2021-12-12 09:47:20,43.7094,-98.0298,22.73,85,1,9.22
83,Torbay,CA,2021-12-12 09:47:20,47.6666,-52.7314,45.28,98,90,27.63
84,Rupert,US,2021-12-12 09:47:20,42.6191,-113.6772,40.89,35,90,21.85
85,Kletnya,RU,2021-12-12 09:47:21,53.3897,33.2171,32.16,98,100,8.7
86,Jiuquan,CN,2021-12-12 09:47:21,39.7432,98.5174,25.68,30,0,4.61
87,Bredasdorp,ZA,2021-12-12 09:47:21,-34.5322,20.0403,74.52,57,100,10.36
88,Lebu,CL,2021-12-12 09:46:03,-37.6167,-73.65,51.31,77,52,7.67
89,East London,ZA,2021-12-12 09:47:22,-33.0153,27.9116,76.14,78,0,9.22
90,Jamestown,US,2021-12-12 09:43:31,42.097,-79.2353,36.99,73,75,8.01
91,Mahebourg,MU,2021-12-12 09:47:22,-20.4081,57.7,84.49,58,40,11.5
92,Saint-Philippe,RE,2021-12-12 09:47:22,-21.3585,55.7679,87.39,75,86,13.49
93,Grindavik,IS,2021-12-12 09:48:23,63.8424,-22.4338,41.47,93,75,16.11
94,Hithadhoo,MV,2021-12-12 09:48:23,-0.6,73.0833,81.19,75,100,10.71
95,Southbridge,US,2021-12-12 09:48:24,42.0751,-72.0334,44.02,56,100,10.0
96,Hami,CN,2021-12-12 09:48:24,42.8,93.45,27.32,36,0,6.89
97,Kodiak,US,2021-12-12 09:47:11,57.79,-152.4072,9.91,61,1,32.21
98,Longyearbyen,SJ,2021-12-12 09:48:24,78.2186,15.6401,33.64,69,75,19.57
99,Mananjary,MG,2021-12-12 09:48:24,-21.2167,48.3333,84.81,55,42,10.16
