City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,El Angel,EC,2021-12-13 03:31:57,0.6167,-77.9333,44.67,99,99,3.91
68,Linda,US,2021-12-13 03:31:58,39.1277,-121.5508,50.52,89,90,19.57
69,Hobart,AU,2021-12-13 03:31:27,-42.8794,147.3294,81.01,43,20,1.99
70,Nabire,ID,2021-12-13 03:31:58,-3.3667,135.4833,88.99,59,100,5.55
71,Cotonou,BJ,2021-12-13 03:31:58,6.3654,2.4183,82.38,89,40,4.61
72,Lagoa,PT,2021-12-13 03:31:59,39.05,-27.9833,58.48,53,100,17.87
73,Atar,MR,2021-12-13 03:31:59,20.5169,-13.0499,68.36,17,79,8.41
74,Butaritari,KI,2021-12-13 03:31:59,3.0707,172.7902,82.18,76,22,16.13
75,Fortuna,US,2021-12-13 03:31:59,40.5982,-124.1573,49.66,89,90,1.99
76,Port Alfred,ZA,2021-12-13 03:32:00,-33.5906,26.891,72.46,93,100,12.21
77,Hovd,MN,2021-12-13 03:27:51,48.0056,91.6419,10.15,60,66,3.71
78,Bocas Del Toro,PA,2021-12-13 03:32:00,9.3333,-82.25,77.72,78,30,6.4
79,Cayenne,GF,2021-12-13 03:32:00,4.9333,-52.3333,78.1,92,75,1.99
80,Victoria,HK,2021-12-13 03:30:02,22.2855,114.1577,70.18,68,0,3.0
81,Peniche,PT,2021-12-13 03:32:01,39.3558,-9.3811,58.87,78,7,9.06
82,Vostok,RU,2021-12-13 03:32:01,46.4856,135.8833,4.41,86,100,8.46
83,Paracuru,BR,2021-12-13 03:32:01,-3.41,-39.0306,82.42,78,93,11.99
84,Provideniya,RU,2021-12-13 03:32:01,64.3833,-173.3,-9.29,70,59,15.66
85,Tual,ID,2021-12-13 03:32:02,-5.6667,132.75,83.1,76,98,11.21
86,Luderitz,NA,2021-12-13 03:32:02,-26.6481,15.1594,59.86,80,3,12.1
87,Chanute,US,2021-12-13 03:30:04,37.6792,-95.4572,43.43,56,1,8.05
88,Khatanga,RU,2021-12-13 03:32:02,71.9667,102.5,-40.0,96,87,6.44
89,Hermanus,ZA,2021-12-13 03:32:03,-34.4187,19.2345,62.91,88,64,5.23
90,Bengkulu,ID,2021-12-13 03:32:03,-3.8004,102.2655,84.22,65,49,5.06
91,Atchison,US,2021-12-13 03:32:03,39.563,-95.1216,46.72,44,3,13.11
92,Bonthe,SL,2021-12-13 03:32:04,7.5264,-12.505,77.77,85,3,2.93
93,Tasiilaq,GL,2021-12-13 03:33:04,65.6145,-37.6368,33.96,91,100,4.52
94,Najran,SA,2021-12-13 03:33:04,17.4924,44.1277,47.05,68,0,2.21
95,Acarau,BR,2021-12-13 03:33:04,-2.8856,-40.12,80.42,79,91,14.2
96,Nikolskoye,RU,2021-12-13 03:33:05,59.7035,30.7861,25.39,98,100,3.18
97,Manzil Salim,TN,2021-12-13 03:33:05,35.8567,8.4765,32.0,82,20,4.59
98,Wajid,SO,2021-12-13 03:33:05,3.8093,43.2471,75.49,68,95,18.21
99,Biltine,TD,2021-12-13 03:33:06,14.5333,20.9167,71.71,21,92,7.14
100,Geraldton,AU,2021-12-13 03:33:06,-28.7667,114.6,79.21,44,0,13.8
101,Strezhevoy,RU,2021-12-13 03:33:06,60.7333,77.5889,-0.42,99,85,3.49
102,Zhezkazgan,KZ,2021-12-13 03:33:07,47.8043,67.7144,17.58,86,90,20.13
103,Kantunilkin,MX,2021-12-13 03:33:07,21.0917,-87.45,78.64,95,2,2.75
104,Taganak,PH,2021-12-13 03:33:07,6.0833,118.3,84.34,75,98,3.04
105,Naze,JP,2021-12-13 03:33:08,28.3667,129.4833,59.92,66,94,15.99
106,Mitsamiouli,KM,2021-12-13 03:33:08,-11.3847,43.2844,79.09,73,20,3.44
107,Yumen,CN,2021-12-13 03:33:08,40.2833,97.2,26.4,27,7,27.34
108,Marsa Matruh,EG,2021-12-13 03:33:09,31.3525,27.2453,52.0,62,0,4.61
109,Vao,NC,2021-12-13 03:33:09,-22.6667,167.4833,76.42,91,100,16.67
110,Pacific Grove,US,2021-12-13 03:29:32,36.6177,-121.9166,54.43,85,90,5.99
111,Ilhabela,BR,2021-12-13 03:30:10,-23.7781,-45.3581,74.77,87,95,4.12
112,Sanmenxia,CN,2021-12-13 03:33:09,34.7747,111.1814,45.16,45,4,6.31
113,Saldanha,ZA,2021-12-13 03:33:10,-33.0117,17.9442,60.85,93,3,13.98
114,Apatou,GF,2021-12-13 03:33:10,5.155,-54.3472,73.22,100,99,0.72
115,Barrow,US,2021-12-13 03:33:10,71.2906,-156.7887,-14.78,76,1,10.36
116,Narsaq,GL,2021-12-13 03:33:10,60.9167,-46.05,16.02,75,96,2.51
117,Verkhoyansk,RU,2021-12-13 03:33:11,67.5447,133.385,-45.81,100,95,2.59
118,Jega,NG,2021-12-13 03:33:11,12.2175,4.3792,69.93,19,87,9.01
119,Voyvozh,RU,2021-12-13 03:33:11,62.892,54.9635,1.27,94,71,5.97
120,Kloulklubed,PW,2021-12-13 03:33:12,7.0419,134.2556,82.9,80,97,14.7
121,Mandan,US,2021-12-13 03:33:12,46.8267,-100.8896,36.37,77,1,8.05
122,Svetlyy,RU,2021-12-13 03:33:12,54.675,20.1347,30.25,88,99,6.64
123,Bambous Virieux,MU,2021-12-13 03:33:12,-20.3428,57.7575,80.22,78,75,6.91
124,East London,ZA,2021-12-13 03:33:13,-33.0153,27.9116,70.74,78,0,10.36
125,Saint-Philippe,RE,2021-12-13 03:33:13,-21.3585,55.7679,80.22,76,37,10.58
126,Bluff,NZ,2021-12-13 03:33:13,-46.6,168.3333,61.81,74,57,15.23
127,Sorland,NO,2021-12-13 03:33:14,67.667,12.6934,40.51,92,100,18.12
128,Waris Aliganj,IN,2021-12-13 03:33:14,25.0167,85.6333,67.5,38,0,4.76
129,Bathsheba,BB,2021-12-13 03:33:14,13.2167,-59.5167,79.41,89,40,18.41
130,Cayambe,EC,2021-12-13 03:33:14,0.05,-78.1333,49.26,98,95,3.94
131,Doha,QA,2021-12-13 03:33:06,25.2867,51.5333,64.38,75,6,3.44
132,Alofi,NU,2021-12-13 03:33:15,-19.0595,-169.9187,80.49,74,75,4.61
133,Dongying,CN,2021-12-13 03:33:15,37.4564,118.4856,38.62,18,0,6.44
134,Sangar,RU,2021-12-13 03:33:15,63.9242,127.4739,-29.09,97,97,3.02
135,Cordoba,AR,2021-12-13 03:33:16,-31.4135,-64.1811,66.76,93,75,1.01
136,Krasnoselkup,RU,2021-12-13 03:33:16,65.7,82.4667,-28.62,92,74,6.33
137,High Level,CA,2021-12-13 03:34:16,58.5169,-117.136,-0.29,78,90,6.91
138,Dabat,ET,2021-12-13 03:34:17,12.9842,37.765,49.59,29,17,6.8
139,Santa Marta,CO,2021-12-13 03:34:17,11.2408,-74.199,82.45,61,40,10.36
140,Faanui,PF,2021-12-13 03:34:17,-16.4833,-151.75,81.34,70,100,8.99
141,Roebourne,AU,2021-12-13 03:34:18,-20.7833,117.1333,100.78,19,3,9.69
142,Upernavik,GL,2021-12-13 03:34:18,72.7868,-56.1549,6.94,93,100,11.45
143,Lavrentiya,RU,2021-12-13 03:34:18,65.5833,-171.0,-15.3,91,66,4.36
144,Port Blair,IN,2021-12-13 03:34:18,11.6667,92.75,84.24,65,20,10.36
